name,dosage,forme,presentation,price,remboursement,dci,type,prescription_required
SERESTA,10 mg,Comprimes,B/30,5.03,2.004,OXAZEPAM,Anxiolytiques (calmants),true
SERESTA,50 mg,Comprimes secables,B/20,8.24,3.296,OXAZEPAM,Anxiolytiques (calmants),true
SERETIDE,50 µg/25 µg/dose,Suspension pour inhalation,FL/120 doses,43.55,14.586,SALMETEROL+FLUTICASONE,Bronchodilatateurs,true
SERETIDE DISKUS,100 µg/50 µg,Poudre pour inhalation buccale,FL/60 doses,44.25,37.587,SALMETEROL+FLUTICASONE,Bronchodilatateurs,true
SERETIDE DISKUS,250 µg/50 µg,Poudre pour inhalation buccale,FL/60 doses,55.75,44.013,SALMETEROL+FLUTICASONE,Bronchodilatateurs,true
SERETIDE DISKUS,500 µg/50 µg,Poudre pour inhalation buccale,FL/60 doses,78.3,58.548,SALMETEROL+FLUTICASONE,Bronchodilatateurs,true
SEROPLEX,10 mg,Comprimes pellicules secables,B/14,28.119,10.067,ESCITALOPRAM,Antidépresseurs,true
SEROPLEX,10 mg,Comprimes pellicules secables,B/28,55.5,20.135,ESCITALOPRAM,Antidépresseurs,true
SEROPLEX,20 mg,Comprimes pellicules,B/30,38.595,31.161,ESCITALOPRAM,Antidépresseurs,true
SEROPLEX,20 mg,Comprimes pellicules secables,B/28,34.235,29.084,ESCITALOPRAM,Antidépresseurs,true
SEROPLEX,20 mg,Comprimes pellicules secables,B/30,36.66,31.161,ESCITALOPRAM,Antidépresseurs,true
SEROPLEX,20 mg/ml,Solution buvable,FL/15 ml,21.795,18.526,ESCITALOPRAM,Antidépresseurs,true
SEROTYL,20 mg,Gelules,B/20,18.195,13.974,FLUOXETINE,Antidépresseurs,true
SEROTYL,20 mg,Gelules,B/30,25.375,20.961,FLUOXETINE,Antidépresseurs,true
SEROTYL,20 mg/5 ml,Solution buvable,FL/90 ml + cuil mesure,14.605,12.393,FLUOXETINE,Antidépresseurs,true
SERPAFAR,50 mg,Comprimes,B/20,12.569,10.676,CLOMIFENE,Hormones,true
